[FIPS CODE ,  SHORT NAME ,  FULL NAME ,  STATE ,  LATATUDE ,  LONGITUDE ,  POPULATION (2020) ,  AREA (SQ MI)]
[21183, Ohio, Ohio County, KY, 37.4782, -86.8489, 23735, 587.27]
[51139, Page, Page County, VA, 38.6194, -78.4844, 23727, 310.86]
[54097, Upshur, Upshur County, WV, 38.8978, -80.2334, 23712, 354.64]
[29119, McDonald, McDonald County, MO, 36.6287, -94.3483, 23701, 539.48]
[1133, Winston, Winston County, AL, 34.1492, -87.3737, 23682, 612.98]
[55125, Vilas, Vilas County, WI, 46.0529, -89.5148, 23647, 856.6]
[21013, Bell, Bell County, KY, 36.7306, -83.6741, 23509, 359.0]
[40133, Seminole, Seminole County, OK, 35.1675, -96.6155, 23494, 632.84]
[29221, Washington, Washington County, MO, 37.9617, -90.8774, 23470, 759.91]
[27093, Meeker, Meeker County, MN, 45.1231, -94.5274, 23468, 608.18]
[54027, Hampshire, Hampshire County, WV, 39.3171, -78.6141, 23465, 640.25]
[46135, Yankton, Yankton County, SD, 43.009, -97.3948, 23414, 521.16]
[53039, Klickitat, Klickitat County, WA, 45.8738, -120.7891, 23411, 1871.31]
[56039, Teton, Teton County, WY, 43.9346, -110.5898, 23396, 3995.38]
[41015, Curry, Curry County, OR, 42.4576, -124.1568, 23381, 1627.46]
[42067, Juniata, Juniata County, PA, 40.5311, -77.4022, 23379, 391.35]
[18149, Starke, Starke County, IN, 41.2809, -86.6476, 23365, 309.13]
[18041, Fayette, Fayette County, IN, 39.64, -85.1788, 23334, 215.01]
[26109, Menominee, Menominee County, MI, 45.5801, -87.5566, 23247, 1044.08]
[29195, Saline, Saline County, MO, 39.1368, -93.2018, 23231, 755.5]
[26133, Osceola, Osceola County, MI, 43.9898, -85.3252, 23227, 566.39]
[17165, Saline, Saline County, IL, 37.7531, -88.5407, 23213, 379.82]
[29177, Ray, Ray County, MO, 39.3523, -93.9899, 23145, 568.81]
[47133, Overton, Overton County, TN, 36.345, -85.2881, 23065, 433.48]
[31155, Saunders, Saunders County, NE, 41.2264, -96.6374, 23048, 750.23]
[21167, Mercer, Mercer County, KY, 37.811, -84.8745, 23028, 248.8]
[13107, Emanuel, Emanuel County, GA, 32.5897, -82.3017, 23026, 680.6]
[18047, Franklin, Franklin County, IN, 39.4149, -85.0602, 23020, 384.43]
[51670, Hopewell, Hopewell City, VA, 37.2915, -77.2985, 22959, 10.28]
[13237, Putnam, Putnam County, GA, 33.3218, -83.3728, 22855, 344.64]
[51820, Waynesboro, Waynesboro City, VA, 38.0674, -78.9014, 22841, 15.04]
[22075, Plaquemines, Plaquemines Parish, LA, 29.4406, -89.61, 22803, 779.91]
[29055, Crawford, Crawford County, MO, 37.9764, -91.3039, 22797, 742.52]
[26089, Leelanau, Leelanau County, MI, 44.9385, -85.812, 22734, 347.17]
[48365, Panola, Panola County, TX, 32.1624, -94.3056, 22726, 801.75]
[48281, Lampasas, Lampasas County, TX, 31.1962, -98.2415, 22715, 712.84]
[19183, Washington, Washington County, IA, 41.3356, -91.7179, 22561, 568.84]
[1025, Clarke, Clarke County, AL, 31.6767, -87.8308, 22543, 1238.47]
[5111, Poinsett, Poinsett County, AR, 35.574, -90.663, 22543, 758.39]
[54059, Mingo, Mingo County, WV, 37.7264, -82.1347, 22542, 423.11]
[51163, Rockbridge, Rockbridge County, VA, 37.8145, -79.4473, 22531, 597.56]
[1111, Randolph, Randolph County, AL, 33.2938, -85.4591, 22510, 580.55]
[22003, Allen, Allen Parish, LA, 30.6529, -92.828, 22477, 761.85]
[53003, Asotin, Asotin County, WA, 46.1918, -117.203, 22467, 636.21]
[48299, Llano, Llano County, TX, 30.7058, -98.6841, 22424, 934.03]
[37033, Caswell, Caswell County, NC, 36.3932, -79.3335, 22404, 424.92]
[5123, St. Francis, St. Francis County, AR, 35.022, -90.7478, 22400, 634.77]
[20191, Sumner, Sumner County, KS, 37.2373, -97.4765, 22353, 1181.94]
[5027, Columbia, Columbia County, AR, 33.2143, -93.2273, 22349, 766.05]
